구복,맘맘테이블,소담식당,신촌돈부리모노,싸움의 고수,아비꼬 신촌점,아웃닭,엠브로돈까스,유닭스토리 닭한마리,짚신매운갈비찜,프레퍼스,한술식당,해탄,화로상회
"가격은 생각보다 싸진 않았는데 맛있었어요
저희 빼고 계속 중국분들이 들어오시더라고요!
약간 중국 현지 맛을 느꼈달까?

근데 사실 위생은.....??",분짜 먹었는데 괜찮았어요~ 오이가 덜 신선한 건지 조금 아쉽긴 했어요ㅠㅠ,"초복이라 보양식땡겨서 장어덮밥 먹으러왓는데 가성비 조야요!!
하지만 시간이 좀 오래 걸리는점 아쉽지만
너무 맛있고 친절하십미댜!",덮밥 맛집!!,"삼겹살이 덜익어 지방부분이 많이 질겼어요. 두꺼운고기와 얇은 고기가 섞여있었는데 두꺼운게 그러더군요. 껌처럼 씹다 뱉은게 반인데 재고 사정에 따라 고기 두께가 달라질순 있지만 그래도 두종류 섞을땐 익히는 시간을 달리해야 할거 같아요.
최근 먹우 최악의 식당이라 기록삼아 남겨봅니다.",,"먹기전부터 맛있는대요?
먹어보니 더 맛있네요...ㅋㅋ",지나가면서 보기만 하다가 처음 와봣어요 근처 돈까스집들보다 가성비좋고 맛있어요 느끼하지도 않고 스프 리필되서 좋아요??????,먹느라 중간에 사진을 못 찍었네요. 존맛… 닭한마리 예전에 한 번 먹어보고 잡내 때문에 안 먹었었는데 여긴 잡내가 전혀 없어서 맛있게 먹었어요! 국물도 건강한 맛으로 맛있음… 신촌 맛집 인정!!,맛있고 쾌적해요 ㅎㅎ,맛있고 간단하게 그리고 건강하게 먹을수있어요,,오징어튀김 짱맛!! 너무 맛있어서 먹다 찍었네요 ㅎ,"맛있어요
가성비최고입니자"
"샤오롱바오, 홍샤오 우육면 먹었습니다
맛있습니다??샤오롱바오는 육향이, 우육면은 향신료 향이 강한 것 같아요",얌미 하움 -??,"소담식당
이름을보고 혹시 한정식인가하고 방문했어요.
개인적으로 스파게티 피자 싫어하는데
여기는 매콤함과 달콤함이 함께 어우러져서 너무 맛있게 먹을수 있었습니다.
둘이 먹는데 배불러서 피자2조각은 남아서 포장해서 나왔습니다~~
새우가 튀김이 두껍지않아서 너무 좋았어요.
치킨은 다른 음식들에비해 맛이 조금 떨어져서 아쉬웠지만 별점 ☆☆☆☆☆주고싶네요ㅎㅎㅎ
신랑과 오랜만에 데이트나와서 맛나게 식사해서 기분좋았습니다~~^^

글고 일하시는분과 사장님 친절하셔서 더 좋았어요.
감사합니다~~~!!",라멘 연어덮밥 가츠가라아게동 먹었는데 맛있게 먹었어요 양이 많은 편은 아니고 직원분 불친절해요,"리뷰가 꼭 좋은것만 쓰는게 아니니 제가 한마디 남기겠습니다
여자친구와 밥 먹을겸, 입장했다가 소변이 너무급해 직원분께 물어보니 화장실이 따로 없다고 퉁명하게 말을 하시더라구요 그래서 직원분들은 화장실안쓰세요? 라고물으니 직원용화장실은 따로있다고, 밖에나가서 다른데 찾아보라고 하더군요 음식을떠나서 사람이 너무 급하면 직원화장실도 잠시 쓰는게 큰문제가 되는지 너무 불친절합니다 다른동네도 아니고 여행객들이 많이오는 신촌인데 안봐도 뻔합니다 한국이미지 망치지않았음합니다 사장님 꼭보세요",,오예오예맛잇어요,재방문했어요. 와이프가 돈까스를 좋아해서 왔습니다ㅎㅎ 직원분들 친절하시고 돈까스가 맛있어요,맛있어용,"신촌 갈비찜 맛집 짚신매운갈비찜에서 맛있게 식사하고 왔어요~
세트메뉴도 잘 되어있어서 좋았네요ㅎㅎㅎ
매콤한 갈비찜에 주먹밥을 같이 먹으니 더욱 좋았습니다!",,,"맛있어요!
오징어 양념 맛있어요! 슬러시도 좋아요",
"모든 메뉴가 다 맛있었어요!!!??
다른 가게들은 대체적으로 한국인 입맛에 맞춰서 향신료를 줄이거나 하는데 여기는 향신료의 향들이 잘 살아있어서 너무 좋았어요.","분깐조 맛나요!
그리고 한번리필되는건진짜 너무좋네요.",맛있어요,양 적당하고 맛있어요!,,,"친구가 추천해서 왔는데, 너무 맛있어요 진챠 !
사장님도 친절하시고, 기분 좋게 먹었습니다 :)",돈까스 맛있어요!,맛있어요~,지금까지 가본 지점들 중에 제일 깨끗하고 친절하시고 정석대로 하시는 것 같아요 돼지갈비도 넘넘 부드럽고 맛있었어요!! 앞치마와 화장실까지 깨끗해서 기분 좋게 먹고 온 곳. 추천합니당,가즈아,,"음식이 맛있고 깔끔해요.
건강한 맛이에요.",친구들이랑 식사하기 좋아요 맛있어여
신촌의 우육면과 샤롱바오 맛집 구복. 새우 샤롱바오는 육즙이 팡팡 터지고 안에있는 새우는 탱글해서 식감도 좋고 맛도 좋네요. 우육면은 맵찔이인 저도 맛있게 먹을 수 있을 정도의 맵기고 고기도 두툼해서 정말 맛나게 먹었습니다. 계산할 때 알았는데 사장님이 대만분이신것 같아서 더욱 신뢰가 가는 맛집이었습니다????,"호띠우, 분깐조, 분팃능 모두 맛있어요",맛은 괜찮은데 양이 너무적어요.. 양이 다른 곳의 0.6인분인거같애요 근데 가격도비싸여,"연어덮밥 먹었는데 연어 자체에 간이 되어있는 느낌이라 쪼꼼 짰어요 ?? 그래도 연어 많이 올라가있어서 좋아요 !
친구들은 소바랑 에비카츠동 먹었는데 맛있게 다 먹더라구요
저도 담엔 카츠동 먹어보려고요",늦은시간에 혼밥하기 적당해서 좋았어요,,매번 맛있어요~!!!!,오늘은 엄마랑 왔는데 엄마도 좋아해요,양 많고 맛있어요!????,"매콤한 돼지갈비찜 생각나서 저녁 먹고 왔어요!!! 세트 메뉴가 있어서 좋았고, 맵기 조절 가능해서 좋았어요.
가격도 착하고 양이 푸짐해서 배부르고 맛있는 식사 할 수 있어 좋았어요??????",맛있습니다,,맛있게 잘 먹었습니다. 직원분 친절하세요^^,"고딩아들 기말 끝나서 몸보신하러 레고레고
삼겹에 갈비, 닭갈비를 배터지게 먹었네요~^^"
현지의 맛입니다 가게분위기도 외국같아요,양도 많고 향신료가 세지 않아서 넘 맛있었어요!,"음식은 맛있어요. 하지만 반찬은 안드시는 걸 추천합니다! ??
알바생인것 같던데, 장어 덮밥에 같이 나온 반찬이었는데, 그 반찬 맨손으로 담고, 그 손을 입에 넣어서 빨고 다시 다른 반찬 담더라고요. 자주 갔는데 다신 안가려구요.","신촌 맛집으로 유명한 곳인 만큼 주말 3시 쯤 방문 했는데 테이블이 하나만 남아있어서 운 좋게 바로 입장했고 빠르게 요리가 나오는데 신선하고 푸짐하니 양이 많아서 가성비가 좋아요!
단무지와 김치는 요청하면 주시는데 볶음김치를 주셔서 덮밥과 찰떡 궁합이니 꼭 요청해서 같이 드세요!",덮밥 저렴하고 맛나요,,너무 맛잇구 사장님도 친절하셔요????,"냠냠냠냠냠
여기 제육 잘해요.",유명해서와봤어요! 맛있어요 또올게요,"맛있게 잘 먹었습니다
매콤한 갈비찜 계속 생각나는 맛이에요",소고기가 딱 맛있게 구워져서 좋았어요! 덮밥과 샐러드 파스타 둘 다 맛있네요~,,너무 맛있었요~~ 슬러시도 셀프바에 있고 최고입니다.,"신촌 화로상회 정말 쵝옵니다!
멕반장이 대한민국 고기집 중에서 가장 좋아하는 ????????
신촌! 화로상회 ??????
늘 친절한 사장님 그리고! 언제나 활활 타오르는 ?? 참숯?????? 여기 신촌 화로상회 시그니쳐 랍니당??????
맛나게 잘 먹고갑니다

멕반장 맛집 여행기 ??
https://m.blog.naver.com/ottawaking/223284081512"
"오 맛집이였어요!! 기대이상 우육면 짱맛
가게내부는 조용하고 테이블이 많지는 않아요~",좋아요,양적음,"남편이랑 오랜만에 신촌데이트로 방문한 돈부리모노!
유케동은 처음인데, 달큰하지만 매콤한 끝맛이 계속 땡기는 맛이었어요~ 그치만 돈부리모노 튀김맛집! 믹스동 약간 매운맛이랑 새우튀김은 진짜 너무너무 맛있어서 남편 말 많이하게 시키고 제가 다 먹어버렸네요^____^?? 최고????",굿,,치킨이 너무 바삭하고 순살이지만 퍽퍽살이 아니라 너무 맛있어요! 갈릭치킨 맛있어요 최고!??,바라던 맛! 아주 맛있엉ㅅ,찬바람 불면 바로 생각나는 닭한마리ㅜㅜㅜ건강한 맛인데 너무 맛있어요 먹고나면 든든하게 몸보신 한 느낌이에요 저 소스 만들어서 찍어 먹는게 킥이라 닭한마리 먹고 싶어지면 여기로 오게 돼요 떡사리 추가해서 먹으면 오동통하게 떡이 불어서 맛있어요 추천드려요??,"신촌데이트 중 매운갈비찜 먹고 싶어서 들리게 되었어요 ~
근처 공영주차장 주차 후 방문했는데 평일 저녁시간대라 손님이 많았답니다 ㅎㅎ
직원분들이 정말 친절하게 반겨주셔서 감사했다는..
여러지점 방문해보았는데 신촌점은 유독 더 맛있고 양많은 것 같아요 !
맵기도 딱 적당했고 고기가 야들야들하니 부드럽고, 뼈와 분리가 잘되어서 먹는데 불편함 없이 즐기기 좋았습니다 ~
세트메뉴가 저렴해서 친구들과 직장동료들과 방문하기에 좋을 것 같아요~
생각날때마다 가고싶은 짚신매운갈비찜 신촌점 여러분도 방문해보세요 !",하체힘들다... 프레퍼스 맛있다..,,"음식 너무 맛있어요! ㅎㅎㅎ
더 번창했으면 좋겠어요~
오징어, 보쌈 다 추천합니다:)",진짜 가성비 최고 맛집..???? 고기 상태도 좋아요!!
샤오룽바오랑 우육면 맛있어용??,ㅇㅇ,장어덮밥 가성비좋구 파스타도 맛있네요,신촌에 점심먹으러 갔다가 가츠동먹으러간곳. 가격도 저렴하고 맛있었어요 저는 믹스동 먹었는데 돈까스도 살이 촉촉했고 새우도 통통하고 잘튀겨져서 잘먹었어요. 감자고로케도 딱 겉바속촉 잘 익어서 맛있게먹었습니다. 유케동? 육회올려져있는 덮밥인데 육회양도 많고 맛있게먹었습니다.,아니 진짜 먹다가 야마가 개돌아서 영수증 안받았길래 영수증리뷰라도 남기려고 콜라하나 시키고 리뷰남기는데 아무리 물가가 올랐어도 그렇지 저 라지 시켰는데 무슨 밥을 라지로 주고 고기는 원래 먹던것보다도 적네요? 저게 라지면 기본사이즈는 고기를 복어회 만큼 주시는건가요? 저 여기 다닌지 꽤 됐는데 물론 소상공인들 어려워서 어지간하면 태클 안거는데 진짜 장사 이런식으로 하지 마세요 일부러 멀리서 먹으러 왔는데 너무 기분이 안좋네요,,"부산 아웃닭과 비교했을때,
맛은 똑같은데 양이 쫌 적었어요~",깔끔한맛이고 맛있어요~!,"신촌에서 유명한 삼계탕집이라고해서 방문해봤어요!
웨이팅이 있기는 한데 회전율도 나쁘지않고 실내에서 기다릴수 있어 좋았습니다!
닭도 너무 맛있어요","신촌역 가성비 좋은 고기집입니다.

돼지갈비 잡내 없고 부드럽고 신선했습니다.
계란찜 너무 부들부들하고 사리로 당면 꼭 넣어 드세요.
사장님도 친절하고 기분 좋게 먹고 왔어요~~",가격도 너무 착하고 단백질도 많아서 다이어터한테 최고에요???? 또올게요!!,,"음식 너무 맛있고 직원분들이 정말 친절하세요
후식도 있어서 든든하게 먹고 왔습니다","화로상회 신촌점 맛이 좋습니다..
다만 사장님께서 직원분들 교육 좀 하셨으면 하네요;;
사실 사장님도 그렇게 친절하신 편은 아니신데 츤데레 느낌이 있어서 기분이 나쁘지 않습니다 그런데 직원분들이 다 베트남분들인데 그중 안경끼신 여성분 아주 네가지가 없어요..일 하기 싫은 티 팍팍내고 시킨 음식 테이블에 놓을 때도 갑자기 뒤에서 손을 쑤욱 내밀어서 아무말 없이 툭 놓고 걍 가더라구요 식사하는 내내 기분이 정말 나빴습니다 솔직히 맛이 좋고 회사 근처라 자주 가는데ㅠ 진짜 속상하네요ㅠㅠ"
너무 맛있어요!,"신촌에서 베트남 음식점으로는 여기가 원탑으로 불리죠 ㅎ
비오는 날 좀 일찍 갔는데도 바로 만석이네요
현지의 맛을 느낄 수 있고 가성비 좋고 양도 풍부하고 만족도 상당히 높은 곳입니다",아마트리치아나파스타 장어덮밥 이 가격에맛있게 냠냠 특히 장어덮밥 강추,올때마다 맛있다,고기가 다소 뻑뻑한감은 있지만 잡내없고 괜찮아요 ~,,아웃닭 진짜 좋아하는데 신촌점은 특히 더 맛있어요!!! 직원분들도 엄청 친절하시구 웃는 모습 덕분에 기분좋게 친구랑 맥주 마실 수 있어요! 추천합니당 :D,양도 많고 맛있어요 특히 스프 오랜만이야!,"비가 오는 날이면 언제나 생각나는 세계 최고의 닭 한 마리 신촌 유닭 스토리에 오늘도 또 왔습니다

개운한 국물 맛있는 닭살 푸짐한 사리까지. 최고의 닭요리","매운갈비찜하면 짚신매운갈비찜이죠!
돼지 갈비찜으로 시켰는데 살도 엄청 부들부들하고 뼈도 쏙 빠져요!
계란찜, 전, 주먹밥 사이드도 다 맛있었습니다! 너무 배부르게 먹고 나왔어요!!",Great food,,음식이 깔끔학ㅎ 맛있어요! 너무 친절해요~~~,껍데기 맛있셔용??
중국음식을 일본노래를 들으면서,"분깐조 존맛탱
사리도 서비스줘요.
대박임!
맘맘테이블!",굿,"돈부리모노 신촌
#일식덮밥전문점 #가츠동 #유케동 #에비동 #규동 #김치유부우동
덮밥집이지만 생각보다 메뉴도 많다. 신촌이라 그런지 가격이 거의 학생식당 수준이다.
일식집에서 무려 4가지를 주문했는데 3만원이 안된다.
게다가 평일점심 할인도 있어서 더 저렴하다. 꼭 이런 착한 식당은 우리 동네에는 없다.
유케동 육회덮밥이 런치할인으로 9천원인데 계란 노른자를 툭 터뜨리면 육회와 참기름향이 노른자와 섞여 고소하면서 단짠단짠한 고기가 씹혀 맛있다
감자고로케도 다른 재료 없이 순수 감자만으로 바삭하게 튀겨 부족한 반찬을 충분히 커버하는 매력이 있다. 단돈5천원 냠냠
1인 식사부족시 공기밥& 버터라이스 무료 제공이라니 양 많은 학생들의 마음을 헤아려주는 사장님의 혜안에 감탄해 마지 않는다.",좋아요,,가성비 좋아요 :),"오늘도 출첵~~~!
너무 맛있어요!",항상 맛있게 먹고 있습니다. 가성비 좋고 음식이 너무 맛있어요,"맵찔이도 맛있게 먹을수 있는 최고의 매운갈비찜!
쾌적하고 시원한 매장에서 따듯하고 매콤한 갈비찜을 먹으며 이보다 좋은 조합은 없을것이다 라는 생각이 들었다!!
완전 강추입니다~",생각보다 양도 많고 카레도 맛이 은근 깊어서 그래도 클린하게 먹기 좋습니다!,,돌판오징어 너무 맛있어서 2번 시켜먹었어요!! 맛있어요 :),좋아요
"음 사실 처음에 들어갈 때 망설였어요.
외관상 별로 청결해보이지 않았고, 칙칙하고 어두운 분위기였거든요. 그래도 요즘은 공사장 느낌으로 인테리어한다는 곳도 있다길래 여기도 그러겠지 싶어서 들어갔어요.
메뉴는 2명이 가서 기스면, 우육면, 딤섬, 샤오룽바오 4개 먹었습니다.
기스면과 우육면은 면의 양이 국물에 비해 많고 맛있었습니다. 기스면은 간이 좀 셌어요.
딤섬과 샤오룽바오는 좀 그랬네요..
샤오룽바오에서는 고기 누린내가 났고, 딤섬은 만두피가 덜 익어서 나왔어요. 또 딤섬 속이 좀 특이했어요. 다른 곳에서 먹었던 딤섬은 일반 만두랑 식감이 비슷했는데, 여기서 먹은 딤섬은 속이 카레+밥을 믹서기에 대충 간 것처럼 흐물흐물했어요. 샤오롱바오는 또 식감이 너무 단단하더라구요. 면은 맛있는데 만두류는 별로..",맛있어용,"매장 분위기가 좋아 데이트 장소로 좋을것 같아요!
음식량이 많은편은 아니었습니다",신촌점심맛집 덮밥이 맛있는 돈부리모노에서 유케동과 믹스동 닭다리살 가라에게 먹었는데 특히 신선한 유케동 꼭 맛보세요.고소하면서 감칠맛도 있고 끝내주는 맛이랍니다.,잘먹었습니다!,,양 디게 많아요! 치킨은 와서 먹는 게 최고!,처음 방문했는데 너무 맛있어요! 다시 올 것 같네요 ㅎㅎ,닭 한마리 둘이서 뚝딱하고 칼국수까지 우마이,소갈비찜이 너무너무 먹고 싶어서 맛있는 곳 찾아 왔습니다!! 맵기 조절 폭이 넓어서 매운거 잘 먹는데도 딱 알맞게 잘 먹을 수 있었어요!! 고기도 하나도 안 질기고 부드럽고 소스는 크리미하면서 매콤한게 최고였습니다.... 참고로 주먹밥 개존맛이니 꼭 추가해서 드시길 바래요!! 신촌 갈비찜으로는 여기가 탑인 것 같습니다!! 정말 맛있었어요ㅠㅠㅠ,샐러드파스타 추천추천~ 리뷰이벤트로 구운란도 받을 수 있음. 24시간인 게 굿이고 2층에 좌석 더 많아요!,,"친구들이랑 다같이 밥먹으러왔는데 직원분들도 다 너무 친절하시고 음식도 너무 맛있어요!!
다음에 또 올게여!!","와~~정말 화로상회 신촌점!????????
여긴 정말 찐찐찐!?? 맛집입니다!
오늘도 마포에서 신촌 화로상회 찾아갑니다!
고기뷔페 대한민국 최고!라고 정말 핵칭찬 하그ㅡ 싶구요.
17,500원 착한 가격은 기본이구요!
(**7월26일부터 19,500원)

정말 친절한 사장님 서비스에 두번 더 감동입니다 ????????
소주 4500원 맥주 4500원????
레알! 레알입니다!
오늘은 계산 다하그 나와서 집에 와서 영수증 찾아 후기 적는데...
소리 소문 없이 사이다 음료수 2,000원 ...할인금액??
말씀도 안해주시고 그냥 2,000원 할인도 해주셨더라구요
찐찐! 감동 100배 더 받고 아주 아주 맛나게 잘 먹고갑니다 ??
조만간 또 100% 재방문 각입니다??????
감사합니당 ??"
딤섬보단 면류가 나아요,"진짜 한국에서 찐 베트남맛으로 먹는 쌀국수는 없다 생각했는데.. 반신반의하며 홀리듯 갔던 여기서 완전 입맛에 찰떡같이 잘맞는 똠얌쌀국수를 먹었어요 ㅠㅠㅠ
새우가 한마리만 더있다면 정말 좋았을텐데 비싼 새우가격을 저도 알기에 ㅠㅠ
진짜 아무튼 너무 맛있어요… 먹는 내내 속으로 진짜 도른맛이다 대박을 외치며 먹었고, 국물 한번 떠먹자마자 캐나다 밴쿠버에서 늘 가던 저의 최애 Vietnamese restaurant 가 생각났어요.. 분짜랑 다른 메뉴도 남김없이 다 먹어보러 와야겠어요 ㅠㅠㅠ 서빙해주시는 직원분 너무 친절하시고 저 여기 진짜 오늘부로 단골예정이고 내일 또올거예요… 오늘 여기 지나치지않고 간 나자신을 칭찬합니다. ??????",음식도 맛있고 알바생도 친절했어요 ^^,"재방문했는데 역시나 든든하구 맛있어요!
신촌 혼밥 맛집입니다 ??",친절하고 맛있어요 ㅎㅎ,,아웃닭 언제나 맛있어요!! 후라이드 짱짱 감튀도 마싯어요 ㅎㅎ담에또올게요??,고구마 무스 귀엽게 올려주셨어요 역시 맛있어요,"너무 맛있어요
신촌맛집","소갈비찜 세트에 고추만두 추가했어요 둘이 먹기에 양이 너무 많네요
보통맛도 신라면보다 매웠어요 그래도 맛있게 매워서 그 많은양을 다 먹었어요 ^^
앞으로도 재방문의사 있어요~~",넘맛있어용!!!!,,밖에서 일 보고 해탄에 처음 가봤는데 가게도 넓고 테이블도 크고 해탄 한 상으로 시켰는데 오징어 튀김도 바로 튀겨 주시고 돌판오징어도 짜지않고 맛있었어요 같이 나온 보쌈도 소자인데 양도 꽤 되서 진짜 잘먹었습니다??,친절합니다
우육면 국물 맛 완전 맛있고 마파두부도 맛있어요. 샤오롱빠오도 맛있어요.,분짜 너무 좋아,생각지도못했는데 피자맛집이네요 매장분위기도좋고 다맛있었습니다,반찬까지 싹 다 맛있어요,가성비 좋고. 누가 이 가격에 보쌈을 이만큼을 줄까. 게다가 혼자 먹어도 전혀 부담없는 좌석 배치. 테이블 끈적임도 전혀 없음.,,맛있어영 맥주 큰사이즈도 굿!!,항상 맛있습니다~~,닭칼국수 특 양 엄청 많고 맛있어요!,짚신 갈비찜은 진짜오랜만에 먹어봐요 ?? 20대때 자주먹으러갔는데 역사와 전통을 자랑하는곳이라서 그런지 맛있는건 여전하네요 ???? 맵찔이 언니와 함께가서 매운맛은 못시키고 제일 순한맛 10으로 주문했는데 그래도 살짝 매콤하니 감칠맛나게 칼칼한 매콤함이어서 존맛이었어요.. ?? 콩나물이랑 파채와의 조합 기가맥혀요 그리고 당면 떡사리등 푸짐하게 들어가있습니다 당면너무좋아하는데 세트구성에 포함되있어서 개이득 ?? 계란찜도 비린맛안나고 포슬포슬 부드럽고 매콤자작한 국물에 주먹밥 푹 적셔먹고 또 고기얹어서 먹고 하니까 설거지수준으로 싹싹 다먹었습니당 ㅋㅋ ?? 갈비찜은 없어서 못먹을정도로 좋아하는음식인데 신촌짚신매운갈비는 꼭 또갈집이에요 !! 사장님도 너무 친절자상하세요 ?? 양도 너무많아서 아직까지배불러요.. 다음번엔소갈비??,친절하시고 맛도좋아요??,,"맛있고 양 많아요!
셀프바에 양배추찜이 있어서 좋았습니다ㅎㅎ
볶음에도 양배추 같이 볶아주시면 훨씬 맛있었을 것 같다는 생각..ㅎㅎ
오징어튀김 맛있었어요!
담엔 점심에 또 오려구요:)","고기 다 맛있어요.
양이 많아용 ~~
진짜 좋아용 ~~"
good,"베트남 남부 호치민 요리 맛집, 맘맘테이블
호치민 스타일 쌀국수, 비빔쌀국수, 똠양쌀국수 맛집

호띠우 (호치민 쌀국수)
진한 사골육수에 쫄깃한 면, 다진고기, 새우, 야채 등이 들어간 구성
호치민 스타일이지만 우리나라 사람 입맛에 맞게 현지화가 어느 정도 된 맛이라 누구나 부담 없이 맛있게 즐길 수 있음

짜조(튀김만두) 2pcs
고기, 야채를 라이스 페이퍼로 말아 튀긴 요리로 그냥 먹어도 겉바속촉 맛나고 소스와의 궁합도 좋음

무난무난하게 맛이 좋아 누가와도 호불호 없이 베트남의 향과 맛을 느끼고 가기 좋은 식당

맛있게 잘 먹었습니다.??",파스타도 맛있구 피자는 꼭 먹어봐야해요! 치즈도 많고 빵피도 딱딱하지 않고 맛있어요!,에비가라아게동에 김치치즈토핑 추가해서 먹으면 더 맛있음,"곁으로 좋아 보입니다.
밥은 덜 익히고 좀 아쉬웠습니다.",,맛있어요! 대박!!,맛있어요 ~ 자주 오는 곳입니다 !! ??,오랜만에 왔는데 역시나 맛있어요ㅠㅠ 칼국수 사리 두 개 넣어드세요 존맛탱??,"신촌 갈비찜 맛집 짚신매운갈비찜?? 오랜만에 방문했는데 다시 먹어도 너무 맛있어요! 매운 단계 조절이 가능한데 적당히 매운 걸 좋아해 30%로 주문했는데 신라면보다 살짝 더 매운 맛이었어요! 양념에 졸여진 갈비가 중독성있게 맛있고, 주먹밥, 계란찜, 지짐이 등 사이드도 다앙한데다 갈비찜과 궁합이 좋아 아주 폭식했어요! 매운갈비찜은 짚신매운갈비가 제일 맛있는 것 같아요?? 나중에 또 방문할게요!",맛있어요,,"오튀 반함
5일전에 왔다가
지인 모시고 다시옴",가성비 맛딥~! 삼겹먹고싶을때 자주가요
지인이 맛있다고 해서 가봤는데 우육면은 예전에 말레이시아에서 홍콩사람이 하던 맛이랑 비슷한데 좀 연하지만 맛있습니다. 지인은 이번엔 기스면을 주문해봤는데 닭내가 좀 나네요 면발은 그냥 중면 같아 별로였습니다. 그리고 그릇을 좀 바꾸면 좋겠습니다. 작은 그릇에 가득은 딱 볼때 맛이 떨어진다는...ㅠㅠ 차라리 우육면 그릇에라도 나왔으면 좋았으련만 아쉽네요 샤오룽바오 고기 씹히는게 좀 단단하게 느껴지네요 육즙은 가득있었습니다. 좀 식으니 붙어서 다 찢어졌지만 그게 더 좋았다는ㅎㅎ 우육면 한번 맛볼만합니다.,맛있습니다,좋아요,음식 빨리 나오고 가격도 맛도 혼밥하기에 좋아요!,맛있어요 ~,,음식이 매우 맛있어요! 분위기도 좋아요! 다음에 또 오고 싶어요,오랜만에 경양식 돈가스 맛있게 먹었어요.,맛나요!,"돼지갈비찜 맵기 30%로 먹었는데 약간 매콤하고 딱 좋아요.
고기 엄청 부드럽고 세트 메뉴에 있는 사이드 메뉴들 다 맛있어서 가성비 좋은 세트 추천해요.
매장도 깔끔하고 사장님 친절하세요.
신촌 맛집에서 맛있게 잘 먹고 왔습니다!!",맛있게 잘 먹었습니다,,"메뉴가 다양하고 맛있었어요??
평일 점심에 웨이팅 없이 밥먹을 수 있어서 좋았습니다.","아이들이 맛있다고 너무 좋아해요..아이들이 너무 많이 먹어서 종종이용합니다, .여기는 식사시간 피해와야지 매번가다려요"
맛은 있어요 향이 강한 저도 먹을정도 였고 맛있었어요 그런데 마파두부는 12500원에 저렴한 가격도 아닌데 공기밥 별도구요..근데 메뉴에 적혀져 있지 않드라규요..결제하고 알았습니다 공기밥+마파두부 13500입니다 그리고 우육면도 9500원이지만 소식좌 분들 외에는 양이 많이 모자르실듯 합니다 솔직히 가성비는 별루구요 돈 많고 소식좌이다 분들한테만 추천해요 그리고 카드결제할때 밀가루 묻으신 손으로 카드결제하시고..다시 또 밀가루 만시지겟죠..ㅠ.ㅠ 위생도 별루네요..,"너무 기대를 많이
하고 간 것 같아요! 일반적입니다 :)",파스타 두개랑 블루베리 피자 주문했습니다. 가게 분위기가 좋아서 연인이랑 오기 좋을 것 같습니다. 블루베리 피자가 치즈도 맛있고 빵도 쫄깃해서 별미였어요!,와 밥이 정말 많아요!! 사람이 정말 많아서 웨이팅 필수입니다. 사케동의 연어는 정말 맛있고 쫄깃쫄깃해요! 유케동은 단짠단짠 맛있구 육빔을 생각하시면 안될 것 같아요! 전반적으로 음식이 깔끔하고 자극적이지 않아 좋았습니다~! 블로그 체험단으로 방문했지만 재방문 의사 대충 98000%정도? 맛집 인정합니다~,생각보다 별로였어요.,,치킨에 감자튀김에 떡까지 너무 맛있어요,"역시 명불허전..
단골인데 너무 맛있어요","항상 맛있게 먹어요~
속이 좋지 않을 때 먹고 가면 속이 확 풀려요~",신촌갈비찜으로 유명하다 해서 매운갈비찜 먹으러 갔어요!! 맵기 조절도 가능하구 오랜만이네 넘 맛나게 먹었네요 ㅎㅎ 고추튀김도 시켰는데 바삭해서 갈비찜 국물에 찍어먹으니 이것도 별미네요 ㅎㅎ 담에 매운맛 100에 도전해볼게요??,가격도 괜찮고 맛도 있어요!,,신촌에서 밥먹기 최고의 가게에요!! 오징어볶음에서 불맛 미쳤습니다 ㅠㅠㅠ 둘이서 세트먹기에는 좀 많아서 단품으로 시키는데 충분히 많아요 ㅎㅎ,"사장님이 까칠하게 응대하세요
직원분들은 친절하셨습니다
맛있어서 데리고 간건데 친구한테 미안했습니다"
